technology_id,name,type,aliases,ecosystem,detectability,manifest_signals,code_signals,notes
python,Python,language,python|py,Python,high,pyproject.toml|requirements.txt|Pipfile|poetry.lock|uv.lock|*.py,import |from ,
java,Java,language,java|jdk|jvm,JVM,high,pom.xml|build.gradle|build.gradle.kts|*.java,import java.|package ,
kotlin,Kotlin,language,kotlin|kt,JVM,high,build.gradle.kts|*.kt|*.kts,import kotlin.,
scala,Scala,language,scala,JVM,high,build.sbt|*.scala,import scala.,
groovy,Groovy,language,groovy,JVM,high,*.groovy|Jenkinsfile|build.gradle,,
csharp,C#,language,csharp|c-sharp|.net|dotnet,Dotnet,high,*.csproj|*.sln|*.cs|global.json,using System,
fsharp,F#,language,fsharp|f-sharp,Dotnet,high,*.fsproj|*.fs|*.fsx,,
visual-basic-net,Visual Basic .NET,language,vb.net|visual basic|vbnet,Dotnet,high,*.vbproj|*.vb,,
go,Go,language,golang,Go,high,go.mod|go.sum|*.go,package |import ,
rust,Rust,language,rustlang,Rust,high,Cargo.toml|Cargo.lock|*.rs,use |extern crate,
c,C,language,c-lang,Native,medium,CMakeLists.txt|Makefile|*.c|*.h,#include,
cplusplus,C++,language,cpp|cxx,Native,high,CMakeLists.txt|*.cpp|*.cc|*.cxx|*.hpp|*.hh,#include,
objective-c,Objective-C,language,objective-c|objc,Apple,high,*.m|*.mm|*.xcodeproj,#import,
swift,Swift,language,swift,Apple,high,Package.swift|*.swift|*.xcodeproj,import ,
dart,Dart,language,dart,Dart,high,pubspec.yaml|pubspec.lock|*.dart,import 'package:,
javascript,JavaScript,language,javascript|js|ecmascript,Node/Web,high,package.json|*.js|*.mjs|*.cjs,import |require(,
typescript,TypeScript,language,typescript|ts,Node/Web,high,tsconfig.json|*.ts|*.tsx,import ,
php,PHP,language,php,PHP,high,composer.json|composer.lock|*.php,use |namespace ,
ruby,Ruby,language,ruby,Ruby,high,Gemfile|Gemfile.lock|*.rb,require ,
elixir,Elixir,language,elixir,BEAM,high,mix.exs|mix.lock|*.ex|*.exs,use |alias ,
erlang,Erlang,language,erlang,BEAM,high,rebar.config|*.erl|*.hrl,-module(,
clojure,Clojure,language,clojure|clj,JVM,high,deps.edn|project.clj|*.clj|*.cljs,(ns ,
haskell,Haskell,language,haskell,Haskell,high,*.cabal|stack.yaml|*.hs,import ,
lua,Lua,language,lua,Lua,high,*.lua,require(,
r,R,language,r-lang|rstats,R,high,DESCRIPTION|renv.lock|*.R,library(|require(,
julia,Julia,language,julia,Julia,high,Project.toml|Manifest.toml|*.jl,using |import ,
bash,Bash,language,shell|bash|sh,Shell,medium,*.sh|Dockerfile,#!/bin/bash|#!/usr/bin/env bash,
powershell,PowerShell,language,powershell|pwsh,PowerShell,high,*.ps1|*.psm1|*.psd1,Import-Module,
sql,SQL,language,sql,Database,medium,*.sql|migrations/*,SELECT |INSERT |CREATE TABLE,
delphi,Delphi,language,object pascal|pascal|delphi,Delphi,high,*.dpr|*.dproj|*.pas,uses ,
react,React,frontend_framework,reactjs|react.js,npm,high,package.json,react|react-dom,
angular,Angular,frontend_framework,angular|angularjs,npm,high,angular.json|package.json,@angular/core,
vue-js,Vue.js,frontend_framework,vue|vuejs|vue.js,npm,high,package.json|vite.config.*,from 'vue'|@vue/,
svelte,Svelte,frontend_framework,sveltejs,npm,high,svelte.config.*|package.json,from 'svelte',
sveltekit,SvelteKit,frontend_framework,sveltekit|@sveltejs/kit,npm,high,svelte.config.*|package.json,@sveltejs/kit,
next-js,Next.js,frontend_framework,nextjs|next.js,npm,high,next.config.*|package.json,next/|from 'next,
nuxt,Nuxt,frontend_framework,nuxtjs|nuxt.js,npm,high,nuxt.config.*|package.json,from 'nuxt|#app,
remix,Remix,frontend_framework,remix.run|remix,npm,high,package.json,@remix-run/,
astro,Astro,frontend_framework,astro.build|astro,npm,high,astro.config.*|package.json,astro:,
solidjs,SolidJS,frontend_framework,solid|solidjs|solid-js,npm,high,package.json,solid-js,
qwik,Qwik,frontend_framework,qwik|qwikjs,npm,high,package.json,@builder.io/qwik,
lit,Lit,frontend_framework,lit-element|lit-html|lit,npm,high,package.json,from 'lit,
htmx,HTMX,frontend_library,htmx|htmx.org,Web,high,package.json|*.html,hx-get|hx-post|htmx,
jquery,jQuery,frontend_library,jquery,npm,high,package.json,jquery|$(,
redux,Redux,state_management,redux|redux-toolkit|rtk,npm,high,package.json,@reduxjs/toolkit|from 'redux',
zustand,Zustand,state_management,zustand,npm,high,package.json,from 'zustand',
mobx,MobX,state_management,mobx,npm,high,package.json,from 'mobx',
pinia,Pinia,state_management,pinia,npm,high,package.json,from 'pinia',
rxjs,RxJS,reactive_library,rxjs,npm,high,package.json,from 'rxjs',
tanstack-query,TanStack Query,data_fetching,react-query|tanstack query|@tanstack/react-query,npm,high,package.json,@tanstack/react-query,
apollo-client,Apollo Client,graphql_client,apollo-client|@apollo/client,npm,high,package.json,@apollo/client,
tailwind-css,Tailwind CSS,css_framework,tailwind|tailwindcss,npm,high,tailwind.config.*|package.json,@tailwind,
bootstrap,Bootstrap,css_framework,bootstrap,npm,high,package.json,bootstrap/,
material-ui,Material UI,ui_library,mui|material-ui|@mui,npm,high,package.json,@mui/,
ant-design,Ant Design,ui_library,antd|ant-design,npm,high,package.json,from 'antd',
chakra-ui,Chakra UI,ui_library,chakra|chakra-ui,npm,high,package.json,@chakra-ui/,
shadcn-ui,shadcn/ui,ui_library,shadcn|shadcn-ui,npm,medium,components.json|package.json,@radix-ui/,
