technology_id,name,aliases,icon_slug
"python","Python","python|py","python"
"kotlin","Kotlin","kotlin|kt","kotlin"
"scala","Scala","scala","scala"
"csharp","C#","csharp|c-sharp|.net|dotnet","sharp"
"fsharp","F#","fsharp|f-sharp","fsharp"
"go","Go","golang","go"
"rust","Rust","rustlang","rust"
"c","C","c-lang","cplusplus"
"cplusplus","C++","cpp|cxx","cplusplus"
"swift","Swift","swift","swift"
"dart","Dart","dart","dart"
"javascript","JavaScript","javascript|js|ecmascript","javascript"
"typescript","TypeScript","typescript|ts","typescript"
"php","PHP","php","php"
"ruby","Ruby","ruby","ruby"
"elixir","Elixir","elixir","elixir"
"erlang","Erlang","erlang","erlang"
"clojure","Clojure","clojure|clj","clojure"
"haskell","Haskell","haskell","haskell"
"lua","Lua","lua","lua"
"r","R","r-lang|rstats","r"
"julia","Julia","julia","julia"
"bash","Bash","shell|bash|sh","shell"
"delphi","Delphi","object pascal|pascal|delphi","delphi"
"react","React","reactjs|react.js","react"
"angular","Angular","angular|angularjs","angular"
"vue-js","Vue.js","vue|vuejs|vue.js","vuedotjs"
"svelte","Svelte","sveltejs","svelte"
"next-js","Next.js","nextjs|next.js","nextdotjs"
"nuxt","Nuxt","nuxtjs|nuxt.js","nuxt"
"remix","Remix","remix.run|remix","remix"
"astro","Astro","astro.build|astro","astro"
"solidjs","SolidJS","solid|solidjs|solid-js","solid"
"qwik","Qwik","qwik|qwikjs","qwik"
"lit","Lit","lit-element|lit-html|lit","lit"
"htmx","HTMX","htmx|htmx.org","htmx"
"jquery","jQuery","jquery","jquery"
"redux","Redux","redux|redux-toolkit|rtk","redux"
"mobx","MobX","mobx","mobx"
"pinia","Pinia","pinia","pinia"
"rxjs","RxJS","rxjs","reactivex"
"tanstack-query","TanStack Query","react-query|tanstack query|@tanstack/react-query","reactquery"
"tailwind-css","Tailwind CSS","tailwind|tailwindcss","tailwindcss"
"bootstrap","Bootstrap","bootstrap","bootstrap"
"material-ui","Material UI","mui|material-ui|@mui","mui"
"ant-design","Ant Design","antd|ant-design","antdesign"
"chakra-ui","Chakra UI","chakra|chakra-ui","chakraui"
"shadcn-ui","shadcn/ui","shadcn|shadcn-ui","shadcnui"
"storybook","Storybook","storybook","storybook"
"fastapi","FastAPI","fastapi","fastapi"
"django","Django","django","django"
"flask","Flask","flask","flask"
"pydantic","Pydantic","pydantic","pydantic"
"sqlalchemy","SQLAlchemy","sqlalchemy","sqlalchemy"
"celery","Celery","celery","celery"
"gunicorn","Gunicorn","gunicorn","gunicorn"
"spring-boot","Spring Boot","spring-boot|springboot","springboot"
"spring-framework","Spring Framework","spring","spring_creators"
"quarkus","Quarkus","quarkus","quarkus"
"hibernate","Hibernate","hibernate orm|hibernate","hibernate"
"nestjs","NestJS","nestjs|nest.js|@nestjs","nestjs"
"express","Express","expressjs|express.js|express","express"
"fastify","Fastify","fastify","fastify"
"koa","Koa","koa.js|koa","koa"
"laravel","Laravel","laravel","laravel"
"symfony","Symfony","symfony","symfony"
"ruby-on-rails","Ruby on Rails","rails|rubyonrails","rubyonrails"
"phoenix","Phoenix","phoenix framework|phoenix","phoenixframework"
"gin","Gin","gin-gonic|gin","gin"
"actix-web","Actix Web","actix|actix-web","actix"
"postgresql","PostgreSQL","postgres|postgresql","postgresql"
"mysql","MySQL","mysql","mysql"
"mariadb","MariaDB","mariadb","mariadb"
"sqlite","SQLite","sqlite|sqlite3","sqlite"
"clickhouse","ClickHouse","clickhouse","clickhouse"
"snowflake","Snowflake","snowflake","snowflake"
"bigquery","BigQuery","google bigquery|bigquery","googlebigquery"
"mongodb","MongoDB","mongo|mongodb","mongodb"
"couchbase","Couchbase","couchbase","couchbase"
